"plot_id","genus","specie","family","dbh","h"
28,"Myrsine","umbellata","Primulaceae",12,12.5
29,"Cinnamomum","amoenum","Lauraceae",20,16
29,"Ocotea","porosa","Lauraceae",34,20
29,"Ocotea","porosa","Lauraceae",19,10.5
29,"Cupania","vernalis","Sapindaceae",6,10
29,"Cinnamomum","amoenum","Lauraceae",30,16
29,"Matayba","elaeagnoides","Sapindaceae",19,13
29,"Ocotea","porosa","Lauraceae",6,6.5
29,"Ocotea","porosa","Lauraceae",19,17
29,"Prunus","brasiliensis","Rosaceae",10,7
29,"Ocotea","porosa","Lauraceae",12,13
29,"Cordyline","spectabilis","Asparagaceae",5,3
29,"Cordyline","spectabilis","Asparagaceae",13,5
30,"Ocotea","porosa","Lauraceae",11,14
30,"Prunus","brasiliensis","Rosaceae",36,18
30,"Jacaranda","puberula","Bignoniaceae",9,9.5
30,"Ocotea","silvestris","Lauraceae",6,6.5
30,"Ilex","brevicuspis","Aquifoliaceae",7,7.5
30,"Cordyline","spectabilis","Asparagaceae",6,3
30,"Casearia","sylvestris","Salicaceae",9,10
30,"Matayba","elaeagnoides","Sapindaceae",28,16
30,"Ocotea","porosa","Lauraceae",42,22
30,"Ilex","paraguariensis","Aquifoliaceae",29,16
30,"Ilex","paraguariensis","Aquifoliaceae",30,16
