plot;tree;dbh;h;family;specie
21;388;8,594366927;6;Fabaceae;Leptolobium elegans
21;389;6,525352667;5;Fabaceae;Leptolobium elegans
21;391;13,36901522;8;Vochysiaceae;Qualea parviflora
21;392;8,435211984;5;Fabaceae;Leptolobium elegans
21;394;5,729577951;4;Fabaceae;Leptolobium elegans
21;395;5,729577951;2;Sapotaceae;Pouteria ramiflora
21;396;5,570423008;2,5;Vochysiaceae;Qualea parviflora
21;397;12,73239545;9;Vochysiaceae;Qualea parviflora
21;400;9,390141642;5;Ebenaceae;Diospyros hispida
21;401;8,276057041;3;Ebenaceae;Diospyros hispida
21;402;5,252113122;2,5;Ebenaceae;Diospyros hispida
21;403;5,092958179;2,5;Malpighiaceae;Byrsonima pachyphylla
21;404;7,161972439;4;Fabaceae;Bauhinia rufa
21;405;13,84648005;6;Malvaceae;Eriotheca gracilipes
21;406;9,071831756;6;Fabaceae;Leptolobium elegans
21;407;6,207042781;2,5;Malpighiaceae;Byrsonima coccolobifolia
21;408;6,525352667;2,5;Ochnaceae;Ouratea hexasperma
21;409;9,708451529;7;Malpighiaceae;Byrsonima coccolobifolia
21;410;7,957747155;3,5;Erythroxylaceae;Erythroxylum suberosum
22;411;9,549296586;3,5;Fabaceae;Leptolobium elegans
22;411;9,549296586;3,5;Fabaceae;Leptolobium elegans
22;412;6,047887837;2,5;Bignoniaceae;Tabebuia aurea
22;413;7,639437268;3;Malvaceae;Eriotheca gracilipes
22;414;10,18591636;6;Lythraceae;Lafoensia pacari
22;415;13,05070533;4,5;Lythraceae;Lafoensia pacari
22;416;13,05070533;6;Lythraceae;Lafoensia pacari
22;418;9,230986699;3,5;Myrtaceae;Myrcia sp1
23;419;5,411268065;2;Sapotaceae;Pouteria ramiflora
23;420;4,774648293;2,5;Myrtaceae;Campomanesia adamantium
23;421;14,00563499;33;Myrtaceae;Myrcia sp1
23;422;10,50422624;3;Dilleniaceae;Curatella americana
23;423;5,252113122;3;Melastomataceae;Miconia sp1
